Category,Test Case,Expected Result,Actual Result,Repeatable?,Blocker?,Number of Builds,Bugs per Build
Tutorial Menu,bug: Tutorial counts as complete even if you leave in the beginning of it,Tutorial should not be complete if you leave midway through,Tutorial counts as completed and rewards money,No,No,1,2 in 02/27/2024
Game,Can take turns out of order,Out of turn action prevented by warning popup,"Spamming ""Hire"" bypasses current turn and places card on field",no,no,1,2 in 02/22/2024
Battle phase,"bug: whenever i drag top attack sometimes the attack arrow doesnt show up,and the attack doesnt occur. until i seslct the guardian again and drag again(inefficient)",battling opponets shouldnt feel tedious.                                                                                                                                                       -----------------------------                     suggestion: during the battle phase when selecting a guardian show the attack arrow where ever the mouse goes.,sometimes i need to reselct my guardian to attack,no,no,1,2 in 02/25/2024
Main Page,user case: new player tutorial pops up on screen even after it is finished,tutorial should stop being recommended after it is finished,new player tutorial continues to pop up on screen until you re-log,no,no,1,2 in 02/22/2024
Game,bug: enemy AI in training mode stopped placing cards after first turn,enemy AI should continue placing cards throughout the whole battle,enemy AI skipped its turn until the end,no,no,1,2 in 02/22/2024
Login,Sign in Via Google locks up browser,Sign in via google and continue to game,Browser reported as not responding,No,No,1,2 in 02/27/2024
Main Page,tutorial completion,to say completed when it is,says completed when not,no,no,3,6 in 02/26/2024|4 in 02/27/2024|4 in 02/25/2024
Game,clicking off the browser when in tutorial,game to continue,game crashed and returned to login page,no,no,1,2 in 02/26/2024
Main Page,exiting first tutorial,new player pop up no longer displays,"new player pop up displays, when yes is clicked nothing happens",no,no,1,2 in 02/27/2024
Tutorial,Launch  tutorial,Tutorial begins,"Black Screen where the play area should be, your hand of cards is visible",no,no,1,2 in 02/25/2024
Main page,Main page is white and blank while trying to load/render,I expected a main page and I didn't get any,I am met with a blank white screen because it took too long for the main page to load,no,no,1,2 in 02/27/2024
After first game play tutorial,"ex user case: After the tutorial I get thesame message about me being a new player, yes or no option",I expected to not be asked that question because I already answered it,I got asked if I was a new player again,no,no,1,2 in 02/28/2024
Game (First Gameplay Tutorial),"bug: stuck on first tutorial dialog with ""Luna"" character","continued dialog with Luna, drawing a new card","screen is stuck with first dialog with ""Luna""",No,No,1,2 in 02/21/2024
Main Page,bug: asked if new player after tutorial,Would not ask the same question again,Asked same thing twice,no,no,1,2 in 02/27/2024
Game,Bug: Prompted to start first tutorial again right after finishing it,Be prompted to start second tutorial,Was prompted to start first tutorial again,No,No,1,2 in 02/26/2024
game,time randomly stopped on opponents turn and ai opponent has not made any moves for a period of time,matchup to change between my turn and the opponent's turn smoothly,"was just stuck on opponent's turn, ended up leaving the match",no,no,1,2 in 02/25/2024
UI,bug: Player Frame,"to generate options for ""Player Frames""",Nothing happened,No,No,1,6 in 02/25/2024
Tutorial UI,No highlight in opponents empty card slots,Highlight in oppnents empty card slot to attack directly into opponent health,No highlight in certain opponents empty card slots,no,no,1,2 in 02/25/2024
UI,Highlighting any highlightable text,More readable highlight color contrasting text color,Yellow highlight on a bright orange text,no,no,1,2 in 02/25/2024
Decker build UI,No total cards count,Show a total number of cards selected,Difficult to know how many cards in slected deck,no,no,1,2 in 02/25/2024
Game,"After First Gameplay Tutorial I said I was new again, and I was not immediately sent to Deck Builder Tutorial",Being sent to Deck Builder tutorial after First Game tutorial,Staying on the main page,no,no,1,2 in 02/23/2024
Game,"I played First Gameplay Tutorial twice, and the game thought I played Deck Builder Tutorial. This would likely not be an issue if I were sent to Deck Builder Tutorial automatically",Deck Builder Tutorial still marked incomplete,Deck Builder Tutorial marked complete,no,no,1,2 in 02/23/2024
Main Page,Game randomly logged me off.,To not get logged off in main menu.,Game logged me off.,No,No,1,2 in 02/25/2024
Login,When I press login it did not let in me in while using my email,It will log me in,"When I try to login, it give me a screen that stuck at authanicator screen
 Then I refresh it, it give me back to the page that require me enter email in.",NO,No,1,2 in 02/25/2024
Game,Session Bug,Allow my turn,It skip my turn and went with AI,NO,No,1,2 in 02/25/2024
Login/UI/Game/Main Page,UI Bug,"The login page should start when clicking ""Play now""","Clicking on the ""Play now"" button doesn't initiate the login process",NO,NO,1,2 in 02/25/2024
Game/Main Page,Bug: Tutorial Screen popup does not properly redirect me to the tutorial upon 2nd showup (1st showup worked and I was able to play tutorial),To be taken back to the tutorial portion for the game,Popup dissapered and I remained on the home page,no,no,1,2 in 02/25/2024
Main Page,"Bug: The 'X' button when you click into the ""settings"" option does not work",The x button should have closed the settings screen,"The settings screen remained up, I had to hit 'save' or 'cancel' in order to exit the screen",no,no,1,2 in 02/25/2024
Main Page,Tutorial Pop-up was clicked and nothing happened,"selected ""yes"" and tutorial starts/opens",tutorial did not start,no,no,1,2 in 02/26/2024
login/first gameplay tutorial,"ex user case: when clicking around the card, The card that needs to be replaced cannot be activated",the card can be activate.,the card was not activate,no,no,1,2 in 02/25/2024
login/main page/deck builder tutorial,ex user case: cannot take the deck builder tutorial from main page,the deck builder tutorial page can be opened from main page,the deck builder tutorial was not opened from main page,no,no,1,2 in 02/25/2025
Main Page,"After completing the tutorial for new players, sent back to main menu and was promted with the first time player tutorial again, upon clicking yes again the prompt dissapeared and nothing happened.",That no prompt would appear or that the tutorial would play again.,Prompt had appeared / promt dissapeared when clicked yes,no,no,1,2 in 02/25/2024
Login/UI/Game/Arena/Bot,The bot gave up and stopped playing mid way through the match,to play to the last card,stopped deploying cards,no,no,2,"1 in Use date you 
tested on
10/7/2024|1 in Use date you 
tested on
10/12/2024"
